    xMin     xMax 
    yMin     yMax 
    zMin     zMax 
-30.0000 -29.9995 
14.9977 15.0000 
29.9993 30.0000 
-30.0000 -29.9996 
14.9981 15.0000 
29.9995 30.0000 
-30.0000 -29.9997 
14.9984 15.0000 
29.9996 30.0000 
-30.0000 -29.9997 
14.9987 15.0000 
29.9997 30.0000 
-30.0000 -29.9998 
14.9989 15.0000 
29.9997 30.0000 
-30.0000 -29.9998 
14.9991 15.0000 
29.9998 30.0000 
-30.0000 -29.9999 
14.9993 15.0000 
29.9998 30.0000 
-30.0000 -29.9999 
14.9994 15.0000 
29.9999 30.0000 
-30.0000 -29.9999 
14.9995 15.0000 
29.9999 30.0000 
-30.0000 -29.9999 
14.9996 15.0000 
29.9999 30.0000 
-30.0000 -29.9999 
14.9997 15.0000 
29.9999 30.0000 
-30.0000 -30.0000 
14.9997 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
14.9998 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
14.9998 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
14.9998 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
14.9999 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
14.9999 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
14.9999 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
14.9999 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
14.9999 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
